AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
218,1:34:4:709,   24.49,    3.00,    4.54,    2.83,    4.28,    4.57,    2.63
219,1:34:5:713,   24.96,    2.89,    3.93,    2.34,    4.01,    3.86,    2.40
220,1:34:6:713,   25.27,    3.03,    4.06,    2.16,    4.16,    4.18,    2.64
221,1:34:7:721,   26.64,    3.44,    4.14,    2.29,    4.08,    3.83,    2.96
222,1:34:8:726,   25.00,    2.72,    4.45,    2.59,    4.16,    4.29,    2.09
223,1:34:9:732,   27.21,    3.01,    4.51,    1.35,    4.46,    4.08,    2.78
224,1:34:10:733,   27.87,    3.29,    4.32,    2.10,    4.38,    4.65,    2.60
225,1:34:11:734,   29.14,    3.45,    4.94,    1.81,    4.48,    4.96,    2.85
226,1:34:12:740,   24.22,    1.89,    5.38,    2.06,    3.84,    4.92,    1.59
227,1:34:13:749,   23.19,    1.73,    3.32,    1.45,    4.36,    5.56,    1.49
228,1:34:14:749,   26.00,    2.24,    5.33,    1.25,    4.51,    3.07,    2.01
229,1:34:15:759,   28.45,    2.60,    4.45,    1.70,    4.35,    4.52,    1.98
230,1:34:16:762,   27.67,    1.97,    4.89,    2.08,    4.49,    5.52,    1.37
231,1:34:17:766,   26.64,    2.56,    5.55,    2.47,    5.08,    4.19,    2.02
232,1:34:18:770,   28.88,    3.52,    4.77,    2.62,    4.65,    4.01,    3.18
