source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,302500.0,1190037504.0,14858.7244,477200939.5,6.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,122000.0,1169616896.0,9776.0666,823038424.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,297500.0,1154746368.0,18407.593249999998,822910299.5,6.0,1.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,408000.0,1189740544.0,24876.4311,3281403486.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,207500.0,1159581696.0,15379.1822,2718409827.5,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,238000.0,1195352064.0,15719.6891,2718409489.0,6.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,218500.0,1156956160.0,15057.962950000001,2424483379.5,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,233000.0,1090162688.0,18926.2053,2424605928.0,6.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,216000.0,1204695040.0,14850.0861,2308086138.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,405000.0,1310519296.0,26454.02695,13752624604.0,12.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,423000.0,1317187584.0,25901.1675,13752620596.0,12.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,382000.0,2058317824.0,44411.3527,24158869595.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,395500.0,2005151744.0,24567.50505,24158861392.5,12.0,0.0,32.0,64.0,306.15,109.0,91.4
