Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed,source_machine,source_workflow
train-1,asok01,atacseq,147000,MERGED_LIB_MACS2,7287465,2165,148.9,59949056,35799162,16465247,6,7766016,5963776,395866112,17179869184,59949056,10178056,10178056,27547568,a1,atacseq
train-1,asok01,atacseq,147000,MERGED_LIB_BIGWIG,7287465,36007,101.0,2004922368,16194222,4960409,6,0,2887680,2031964160,17179869184,2008707072,10177567,10177567,27547568,a1,atacseq
train-1,asok01,atacseq,147000,MERGED_LIB_PLOTFINGERPRINT,7287465,25337,249.3,1143836672,2041320300,4480625,8,2420736,466944,2214023168,17179869184,1143836672,10176778,10176778,27547568,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_PICARD_METRICS,116545329,47431,126.5,1318952960,3313773506,804870,6,0,901120,21097037824,17179869184,1318952960,3279272139,3279272139,440371968,a1,atacseq
train-1,asok01,atacseq,147000,MERGED_LIB_PICARD_METRICS,7287465,28474,136.5,1271517184,3204305216,787695,6,0,884736,20962144256,17179869184,1271517184,3167784816,3167784816,27547568,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_PLOTFINGERPRINT,233161053,46122,431.5,882532352,10661851998,4831702,8,0,815104,2278010880,17179869184,1080451072,230793299,230793299,880745968,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_BIGWIG,233161053,70855,117.9,2013229056,740234952,352398949,6,0,260677632,2031964160,17179869184,2013229056,230794097,230794097,880745968,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_MACS2,233161053,66936,116.4,98127872,973668133,520725140,6,0,181092352,432701440,17179869184,132468736,230794586,230794586,880745968,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_PICARD_METRICS,233161053,65795,117.3,1362423808,3422986266,807540,6,0,1019904,20961628160,17179869184,1362423808,3388401337,3388401337,880745968,a1,atacseq
train-1,asok01,atacseq,9399126,MERGED_LIB_PLOTFINGERPRINT,466177547,69519,425.6,920727552,15943250331,5059720,8,0,1044480,2258735104,17179869184,1085779968,437518028,437518028,1761479256,a1,atacseq
train-1,asok01,atacseq,9399126,MERGED_LIB_BIGWIG,466177547,106520,123.6,2013077504,1520996004,756230790,6,0,571822080,2031964160,17179869184,2013413376,437518826,437518826,1761479256,a1,atacseq
train-1,asok01,atacseq,9399126,MERGED_LIB_MACS2,466177547,136624,115.9,153747456,1881985731,1017602100,6,0,344256512,496525312,17179869184,206782464,437519315,437519315,1761479256,a1,atacseq
train-1,asok01,atacseq,9399126,MERGED_LIB_PICARD_METRICS,466177547,102349,112.3,986546176,3630240108,809633,6,0,1208320,20961628160,17179869184,986546176,3595126066,3595126066,1761479256,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_PLOTFINGERPRINT,3653358,24050,219.7,1218985984,1270326398,4470051,8,5959680,454656,2193907712,17179869184,1218985984,5955078,5955078,13791968,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_BIGWIG,3653358,35331,100.5,2003341312,8046467,2380247,6,36864,1380352,2031964160,17179869184,2006429696,5955862,5955862,13791968,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_MACS2,3653358,1273,160.0,15777792,19543271,7916586,6,16384,2682880,30568448,17179869184,15777792,5956351,5956351,13791968,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_PICARD_METRICS,3653358,27780,137.1,1325019136,3200447095,782341,6,266240,888832,21496205312,17179869184,1325019136,3163563116,3163563116,13791968,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_BIGWIG,3259653689,535516,130.8,2013224960,11094599355,6084666532,6,6107136,4841259008,2031964160,17179869184,2013933568,2767897402,2767897402,14091675276,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_MACS2,3259653689,1015040,114.7,864522240,12231768884,6710356840,6,626688,1897545728,1206714368,17179869184,1090306048,2767897891,2767897891,14091675276,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_PLOTFINGERPRINT,3259653689,154342,508.0,969375744,38953160168,6025754,8,253952,2011136,2211319808,17179869184,1134428160,2767896597,2767896597,14091675276,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_PICARD_METRICS,3259653689,562006,102.4,1213689856,5961941388,820264,6,1310720,1167360,20961628160,17179869184,1213689856,5925504635,5925504635,14091675276,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_PLOTFINGERPRINT,29105620,30750,315.7,906244096,4459545587,4531661,8,0,516096,2247581696,17179869184,1071296512,34038636,34038636,110119968,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_BIGWIG,29105620,39826,103.8,2005123072,77816419,31422892,6,32768,21999616,2031964160,17179869184,2013229056,34039427,34039427,110119968,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_MACS2,29105620,7894,128.3,65458176,129435416,64595015,6,81920,22323200,399765504,17179869184,65581056,34039916,34039916,110119968,a1,atacseq
train-1,asok01,atacseq,293800,MERGED_LIB_PLOTFINGERPRINT,14554208,27378,284.6,904253440,3092249790,4499241,8,0,483328,2225799168,17179869184,1069305856,18316728,18316728,55059168,a1,atacseq
train-1,asok01,atacseq,293800,MERGED_LIB_BIGWIG,14554208,37529,102.3,2004598784,37400393,14441269,6,0,10067968,2031964160,17179869184,2012704768,18317519,18317519,55059168,a1,atacseq
train-1,asok01,atacseq,293800,MERGED_LIB_MACS2,14554208,3980,137.9,64389120,67197972,32614652,6,0,11530240,398659584,17179869184,64450560,18318008,18318008,55059168,a1,atacseq
